time,open,high,low,close,(blank),(blank),Chars,(blank),(blank),(blank),(blank),Bullish Micro Trend,Bearish Micro Trend,Alpha Track,Volume
1731888000,89859.03,92610.5,89416.16,90518.8,,0,0,0,0,0,0,1,0,82543.10549788835,26940.30484979
1731974400,90519.58,93978.46,90415.46,92370.75,,0,0,0,0,0,0,1,0,83635.06599812297,28312.80756967
1732060800,92375.54,94878.75,91511.78,94343.41,,0,0,0,0,0,0,1,0,84824.88199833153,34589.41180816
1732147200,94339.74,98973.38,94088.55,98422.77,,0,0,0,0,0,0,1,0,86335.75844296135,46285.86853977
1732233600,98429.28,99661,97168.46,98931.26,,1,0,0,0,0,0,1,0,87735.25861596563,40327.1942828
1732320000,98937.01,98951.03,97199.05,97712.72,,0,0,0,0,0,0,1,0,88843.8654364139,17619.22190576
1732406400,97709.47,98587.1,95734.74,97964.32,,0,0,0,0,0,0,1,0,89857.24927681235,12960.21247553
1732492800,97962.29,98883.75,92618.73,93048.75,,1,0,0,0,0,0,1,0,90211.86046827763,29630.09707248
1732579200,93035.64,95022.23,90767.9,91968.26,,0,0,0,0,0,0,0,0,90406.59375057323,26468.14114515
1732665600,91965.03,97344.49,91807.44,95958.77,,1,0,0,0,0,0,1,0,91000.17055001622,22780.90619829
1732752000,95947.75,96653.83,94686.3,95681.33,,0,0,0,0,0,0,1,0,91455.72988184915,9128.7444177
1732838400,95683.58,98711.78,95422.54,97515.07,,1,0,0,0,0,0,1,0,91942.88466789985,18492.70681861
1732924800,97514.63,97522.7,96162.18,96466.91,,0,0,0,0,0,0,1,0,92134.04095217673,5197.00186532
1733011200,96474.56,97903.48,95775.45,97290.95,,0,0,0,0,0,0,1,0,92134.04095217673,6297.86460755
1733097600,97282.54,98193.83,94483.16,95871.8,,1,0,0,0,0,0,1,0,92134.04095217673,21994.6617606
1733184000,95874.55,96320.08,93626.6,95953.01,,0,0,0,0,0,0,1,0,92134.04095217673,24650.4877403
1733270400,95953.09,99223.53,94671.94,98743.34,,0,0,0,0,0,0,1,0,92134.04095217673,26736.03818452
1733356800,98741.09,103915.63,91186.97,97011.13,,0,0,0,0,0,0,1,0,92134.04095217673,57535.17451496
1733443200,96983.69,102024.28,96401.88,99862.81,,0,0,0,0,0,0,1,0,92134.04095217673,24589.00754897
1733529600,99859.09,100547.42,98980.43,99923.56,,0,0,0,0,0,0,1,0,92134.04095217673,6554.60003413
1733616000,99931.05,101430.51,98746.09,101197.25,,0,0,0,0,0,0,1,0,92134.04095217673,6827.96637026
1733702400,101193.25,101269.01,94208.17,97400.68,,0,0,0,0,0,0,0,0,92134.04095217673,27029.36328473
