time,open,high,low,close,Reistance Level,Support Level,Volume
1609286400,27371.025,28999.67,27332.21,28889.2925,24298.685,3880.5875,53003.70479985
1609372800,28891.96,29307.5225,27931.1875,28980.4525,24298.685,3880.5875,48198.18122309
1609459200,28976.325,29685.86,28697.7925,29404.035,24298.685,3880.5875,38319.7673186
1609545600,29406.05,33296.94,29040.885,32223.72,24298.685,3880.5875,87564.56396611
1609632000,32213.8175,34789.25,31992.4175,33096.3175,24298.685,3880.5875,65327.87808463
1609718400,33087.9125,33664.5125,27741.085,32028.2225,24298.685,3880.5875,88827.63566267
1609804800,32042.0275,34508.74,29913.0975,34052.6475,24298.685,3880.5875,71102.1069363
1609891200,34066.4,37017.4575,33363.855,36873.235,24298.685,3880.5875,81731.56653721
1609977600,36870.75,40400.09,36214.3875,39501.2625,24298.685,3880.5875,94860.40824895
1610064000,39502.535,41993.84,36597.3675,40658.6275,24298.685,3880.5875,90910.62575266
1610150400,40657.505,41416.715,38780.545,40252.745,24298.685,3880.5875,44180.39438522
1610236800,40249.61,41452.4575,34530.2675,38173.345,24298.685,3880.5875,78215.69315197
1610323200,38170.4125,38270.6825,30228.2825,35458.7275,24298.685,3880.5875,182942.380832
1610409600,35446.215,36630.42,32393.75,34034.27,24298.685,3880.5875,85631.60577491
1610496000,34033.685,37833,32329.7975,37399.4125,24298.685,3880.5875,70586.04723308
1610582400,37393.2,40117.0575,36724.085,39139.71,24298.685,3880.5875,56131.32979699
1610668800,39135.6625,39694.275,34350.89,36760.6625,24298.685,3880.5875,67642.0204289
1610755200,36771.7925,37947.3325,35366.2,36010.045,24298.685,3880.5875,39399.07153409
1610841600,36009.2125,36853.2525,33850.635,35822.635,24298.685,3880.5875,36810.27019818
1610928000,35821.3125,37430.2675,34761.7025,36625.1225,24298.685,3880.5875,32207.28485816
1611014400,36635.3575,37881.4775,35892.9975,35915.7275,24298.685,3880.5875,34184.26553306
1611100800,35911.435,36419.1025,33390.2525,35502.5025,24298.685,3880.5875,50113.21528779
1611187200,35506.705,35625.29,30027.815,30839.85,24298.685,3880.5875,96652.43991692
1611273600,30834.9025,33865.4625,28876.7525,33001.7675,24298.685,3880.5875,84364.10655385
1611360000,32993.905,33483.285,31413.075,32111.9675,24298.685,3880.5875,28530.71717679
1611446400,32105.98,33081.37,30949.995,32291.01,24298.685,3880.5875,24515.91352974
1611532800,32293.7375,34883.565,31922.43,32271.49,24298.685,3880.5875,44700.0770149
1611619200,32264.215,32949.3625,30831.8925,32513.14,24298.685,3880.5875,46668.37797101
1611705600,32518.9325,32586.6125,29188.3475,30427.465,24298.685,3880.5875,85437.09750168
1611792000,30425.22,33935.67,29898.155,33460.75,24298.685,3880.5875,66116.98057583
1611878400,33465.565,38619.21,31987.0675,34257.6675,24298.685,3880.5875,132826.97893212
1611964800,34262.835,34916.8525,32857.015,34321.5575,24298.685,3880.5875,36461.52254001
1612051200,34313.79,34388.2375,32198.425,33138.715,24298.685,3880.5875,26833.41261783
1612137600,33128.5375,34716.1675,32328.07,33538.6675,24298.685,3880.5875,37937.12238606
1612224000,33525.58,36001.9175,33447.0525,35514.35,24298.685,3880.5875,36338.92022836
1612310400,35507.6375,37731.73,35396.7925,37688.8725,24298.685,3880.5875,41875.04665225
1612396800,37695.575,38759.6525,36191.795,36987.58,24298.685,3880.5875,53613.89627609
1612483200,36984.185,38359.3625,36607.3075,38309.9425,24298.685,3880.5875,29409.19250252
1612569600,38324.045,41002.87,38239.81,39273.03,24298.685,3880.5875,47148.79533885
1612656000,39271.3675,39729.6575,37398.695,38868.57,24298.685,3880.5875,32784.26243157
1612742400,38877.0325,46747.33,38060.915,46431.245,24298.685,3880.5875,85966.28614639
1612828800,46425.3975,48209.83,45026.95,46507.4325,24298.685,3880.5875,62888.23214875
1612915200,46513.2875,47355.3125,43737.6775,44851.2175,24298.685,3880.5875,44221.4211578
1613001600,44852.7825,48696.6625,44033.3775,47987.3325,24298.685,3880.5875,46064.94830395
1613088000,48003.775,48953,46271.0225,47438.89,48953,3880.5875,37362.59766204
1613174400,47423.98,48216.0375,46252.0625,47230.7775,48953,3880.5875,20310.35366364
1613260800,47243.4525,49703.665,47080.9625,48660.45,48953,3880.5875,25316.60602921
1613347200,48652.725,49057.39,45805.93,47935.8025,48953,3880.5875,33668.75699428
1613433600,47954.68,50612.4425,47042.8425,49184.5275,48953,3880.5875,40597.6705879
1613520000,49161.2025,52682.1,48943.0775,52161.055,48953,3880.5875,45437.50865052
1613606400,52152.79,52568.25,50883.085,51591.845,48953,3880.5875,27991.92402227
