time,open,high,low,close,TD8,TD8,TD9,TD9,Small Bull Arrow,Small Bear Arrow,Big Bull Arrow,Big Bear Arrow,Over-Bought,Over-Sold,Caution,Danger
1478563200,705.4305,715.415,703.333,711.2375,,,,,0,0,0,0,745.7257020897598,631.666221148986,,
1478649600,711.0375,743.2425,708.4655,721.585,,,,,0,0,0,0,748.7175785529328,637.7940954772819,,
1478736000,721.5925,722.9465,706.2075,713.0925,,,,,0,0,0,0,747.9347700903795,644.4662898127501,,
1478822400,712.99325,719.22175,711.9155,716.5675,,,,,0,0,0,0,748.3018249840368,652.0757498369053,,
1478908800,716.48,716.9275,700.9395,702.78,,,,,0,0,0,0,747.90881525372,656.8839392234632,,
1478995200,702.6275,704.936,684.67925,702.0125,,,,,0,0,0,0,745.0771754692744,662.732437965043,,
1479081600,702.34475,707.98,696.59275,706.641,,,,,0,0,0,0,741.8422625586688,669.339550053928,,
1479168000,706.95225,716.6725,697.58275,711.82,,,,,0,0,0,0,740.4629740360152,676.1182760695012,,
1479254400,711.62,743.57,709.45,740.28825,,,,,0,0,0,0,742.3715118529403,679.3443475150093,,
1479340800,739.91,752.701,732.0075,735.395,,,,,0,0,0,0,745.4191374099753,679.3267485928959,,
1479427200,735.30725,751.9875,732.205,749.9355,,,,,0,0,0,0,748.8170630837282,679.2668533844591,,
1479513600,749.938,756.495,740.1575,751.11,,,,,0,0,0,0,752.7492726628237,678.6643552443576,,
1479600000,750.945,754.11475,713.0075,729.02925,,,,,0,0,0,0,755.6693783497383,680.9478898601379,,
1479686400,729.2925,739.35,727.7025,737.2625,,,,,0,0,0,0,755.8214337955587,681.6494389763454,,
1479772800,737.29975,750.7635,731,748.4975,,,,,0,0,0,0,756.8377355610488,681.3212187551363,,
1479859200,748.475,748.8625,731.79,741.5225,,,,,0,0,0,0,757.071010739257,686.0466354233937,,
1479945600,741.64725,743.9925,728.5,737.5125,,,,,0,0,0,0,758.1939585043574,689.5441002081628,,
1480032000,738.15225,740.65,729.39875,740.21,,,,,0,0,0,0,758.8238168929596,691.1856698813799,,
1480118400,740.21125,740.8275,724.6975,733.54,,,,,0,0,0,0,759.5348302458216,692.565092541592,,
1480204800,733.56,736.0825,726.5,728.71,,,,,0,0,0,0,759.6400968139387,694.23755530387,,
1480291200,728.69875,734.88775,726.5025,731.6175,,,,,0,0,0,0,759.6318955941447,695.6829005325887,,
1480377600,732.08325,734.64,727.395,732.0125,,,,,0,0,0,0,759.0833780529468,696.6779854870782,,
1480464000,732.02,744.63725,730.01875,742.339,,,,,0,0,0,0,759.889566428056,698.0371047691494,,
1480550400,741.945,755.345,741.215,753.00475,,,,,0,0,0,0,761.5918465178316,698.6619956733135,,
1480636800,753.38475,779.274,752.73075,771.92975,,,,,0,0,0,0,766.9841863442306,700.2622215524536,,
1480723200,772.29275,772.84975,757.26,764.73625,,,,,0,0,0,0,768.9078021105732,705.6663485267223,,
1480809600,765.54925,768.8175,760.1725,766.17,,,,,0,0,0,0,769.3737639181892,709.1686616257177,,
1480896000,766.1575,766.5175,745.3145,751.94725,,,,,0,0,0,0,769.6210029716244,714.3762351656171,,
1480982400,751.76725,760.2225,750.55525,758.86325,,,,,0,0,0,0,770.5194374234692,717.5298097646031,,
1481068800,758.7975,769.6225,752.01475,764.42775,,,,,0,0,0,0,772.2611363488832,717.7774272336542,,
1481155200,764.442,774.19725,762.12525,767.687,,,,,0,0,0,0,774.6025733567192,717.5449475080175,,
1481241600,767.826,773.88975,765.94,771.142,,,,,0,0,0,0,776.4870598400397,716.8633639388512,,
1481328000,771.6045,776.41375,769.62225,773.735,,,,,0,0,0,0,778.7386080678448,719.4931991119589,,
